"model","label_name","label_id","SegmentedPropertyCategoryCodeSequence.CodingSchemeDesignator","SegmentedPropertyCategoryCodeSequence.CodeValue","SegmentedPropertyCategoryCodeSequence.CodeMeaning","SegmentedPropertyTypeCodeSequence.CodingSchemeDesignator","SegmentedPropertyTypeCodeSequence.CodeValue","SegmentedPropertyTypeCodeSequence.CodeMeaning","SegmentedPropertyTypeModifierCodeSequence.CodingSchemeDesignator","SegmentedPropertyTypeModifierCodeSequence.CodeValue","SegmentedPropertyTypeModifierCodeSequence.CodeMeaning","AnatomicRegionSequence.CodingSchemeDesignator","AnatomicRegionSequence.CodeValue","AnatomicRegionSequence.CodeMeaning","AnatomicRegionModifierSequence.CodingSchemeDesignator","AnatomicRegionModifierSequence.CodeValue","AnatomicRegionModifierSequence.CodeMeaning","recommendedDisplayRGBValue"
"total","tibia","","SCT","123037004","Anatomical Structure","SCT","12611008","Tibia","","","","","","","","","",""
"total","fibula","","SCT","123037004","Anatomical Structure","SCT","87342007","Fibula","","","","","","","","","",""
"total","tarsal","","SCT","123037004","Anatomical Structure","SCT","108371006","Tarsal bones","","","","","","","","","",""
"total","metatarsal","","SCT","123037004","Anatomical Structure","SCT","53884002","Metatarsal","","","","","","","","","",""
"total","phalanges_feet","","SCT","123037004","Anatomical Structure","SCT","28641004","Phalanx structure","","","","","","","","","",""
"total","humerus","","SCT","123037004","Anatomical Structure","SCT","85050009","Humerus","","","","","","","","","",""
"total","ulna","","SCT","123037004","Anatomical Structure","SCT","23416004","Ulna","","","","","","","","","",""
"total","radius","","SCT","123037004","Anatomical Structure","SCT","62413002","Radius","","","","","","","","","",""
"total","carpal","","SCT","123037004","Anatomical Structure","SCT","83936004","Carpus","","","","","","","","","",""
"total","metacarpal","","SCT","123037004","Anatomical Structure","SCT","36455000","Metacarpal bones","","","","","","","","","",""
"total","phalanges_hand","","SCT","123037004","Anatomical Structure","SCT","28641004","Phalanx structure","","","","","","","","","",""
"total","sternum","","SCT","123037004","Anatomical Structure","SCT","56873002","Sternum","","","","","","","","","",""
"total","skull","","SCT","123037004","Anatomical Structure","SCT","89546000","Skull","","","","","","","","","",""
"total","subcutaneous_fat","","SCT","85756007","Tissue","SCT","67769002","Subcutaneous fatty tissue","","","","","","","","","",""
