,Structure,SegmentedPropertyCategoryCodeSequence.CodingSchemeDesignator,SegmentedPropertyCategoryCodeSequence.CodeValue,SegmentedPropertyCategoryCodeSequence.CodeMeaning,SegmentedPropertyTypeCodeSequence.CodingSchemeDesignator,SegmentedPropertyTypeCodeSequence.CodeValue,SegmentedPropertyTypeCodeSequence.CodeMeaning,SegmentedPropertyTypeModifierCodeSequence.CodingSchemeDesignator,SegmentedPropertyTypeModifierCodeSequence.CodeValue,SegmentedPropertyTypeModifierCodeSequence.CodeMeaning,SegmentedPropertyCategoryCodeSequence.CodeValue.SNOMEDCTPreferredTerms,SegmentedPropertyCategoryCodeSequence.CodeValue.SNOMEDCTAcceptableTerms,SegmentedPropertyTypeCodeSequence.CodeValue.SNOMEDCTPreferredTerms,SegmentedPropertyTypeCodeSequence.CodeValue.SNOMEDCTAcceptableTerms,SegmentedPropertyTypeModifierCodeSequence.CodeValue.SNOMEDCTPreferredTerms,SegmentedPropertyTypeModifierCodeSequence.CodeValue.SNOMEDCTAcceptableTerms
56,rib_left_9,SCT,123037004,Anatomical Structure,SCT,22565002,Ninth rib,SCT,7771000,Left,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Bone structure of ninth rib (body structure)', 'Bone structure of ninth rib']",['Ninth rib'],"['Left (qualifier value)', 'Left']","['Left lateral', 'Left side', 'Lt - Left', 'Levo-']"
57,rib_left_10,SCT,123037004,Anatomical Structure,SCT,77644006,Tenth rib,SCT,7771000,Left,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Bone structure of tenth rib', 'Bone structure of tenth rib (body structure)']",['Tenth rib'],"['Left (qualifier value)', 'Left']","['Left lateral', 'Left side', 'Lt - Left', 'Levo-']"
58,rib_left_11,SCT,123037004,Anatomical Structure,SCT,58830002,Eleventh rib,SCT,7771000,Left,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Bone structure of eleventh rib', 'Bone structure of eleventh rib (body structure)']",['Eleventh rib'],"['Left (qualifier value)', 'Left']","['Left lateral', 'Left side', 'Lt - Left', 'Levo-']"
59,rib_left_12,SCT,123037004,Anatomical Structure,SCT,43993008,Twelfth rib,SCT,7771000,Left,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Bone structure of twelfth rib', 'Bone structure of twelfth rib (body structure)']",['Twelfth rib'],"['Left (qualifier value)', 'Left']","['Left lateral', 'Left side', 'Lt - Left', 'Levo-']"
60,rib_right_1,SCT,123037004,Anatomical Structure,SCT,48535007,First rib,SCT,24028007,Right,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Bone structure of first rib', 'Bone structure of first rib (body structure)']",['First rib'],"['Right (qualifier value)', 'Right']","['Dextro', 'Right lateral', 'Rt - Right', 'Right side']"
61,rib_right_2,SCT,123037004,Anatomical Structure,SCT,78247007,Second rib,SCT,24028007,Right,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Bone structure of second rib (body structure)', 'Bone structure of second rib']",['Second rib'],"['Right (qualifier value)', 'Right']","['Dextro', 'Right lateral', 'Rt - Right', 'Right side']"
62,rib_right_3,SCT,123037004,Anatomical Structure,SCT,25888004,Third rib,SCT,24028007,Right,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Bone structure of third rib (body structure)', 'Bone structure of third rib']",['Third rib'],"['Right (qualifier value)', 'Right']","['Dextro', 'Right lateral', 'Rt - Right', 'Right side']"
63,rib_right_4,SCT,123037004,Anatomical Structure,SCT,25523003,Fourth rib,SCT,24028007,Right,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Bone structure of fourth rib', 'Bone structure of fourth rib (body structure)']",['Fourth rib'],"['Right (qualifier value)', 'Right']","['Dextro', 'Right lateral', 'Rt - Right', 'Right side']"
64,rib_right_5,SCT,123037004,Anatomical Structure,SCT,15339008,Fifth rib,SCT,24028007,Right,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Bone structure of fifth rib (body structure)', 'Bone structure of fifth rib']",['Fifth rib'],"['Right (qualifier value)', 'Right']","['Dextro', 'Right lateral', 'Rt - Right', 'Right side']"
65,rib_right_6,SCT,123037004,Anatomical Structure,SCT,59558009,Sixth rib,SCT,24028007,Right,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Bone structure of sixth rib', 'Bone structure of sixth rib (body structure)']",['Sixth rib'],"['Right (qualifier value)', 'Right']","['Dextro', 'Right lateral', 'Rt - Right', 'Right side']"
66,rib_right_7,SCT,123037004,Anatomical Structure,SCT,24915002,Seventh rib,SCT,24028007,Right,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Bone structure of seventh rib (body structure)', 'Bone structure of seventh rib']",['Seventh rib'],"['Right (qualifier value)', 'Right']","['Dextro', 'Right lateral', 'Rt - Right', 'Right side']"
67,rib_right_8,SCT,123037004,Anatomical Structure,SCT,5953002,Eighth rib,SCT,24028007,Right,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Bone structure of eighth rib', 'Bone structure of eighth rib (body structure)']",['Eighth rib'],"['Right (qualifier value)', 'Right']","['Dextro', 'Right lateral', 'Rt - Right', 'Right side']"
68,rib_right_9,SCT,123037004,Anatomical Structure,SCT,22565002,Ninth rib,SCT,24028007,Right,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Bone structure of ninth rib (body structure)', 'Bone structure of ninth rib']",['Ninth rib'],"['Right (qualifier value)', 'Right']","['Dextro', 'Right lateral', 'Rt - Right', 'Right side']"
69,rib_right_10,SCT,123037004,Anatomical Structure,SCT,77644006,Tenth rib,SCT,24028007,Right,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Bone structure of tenth rib', 'Bone structure of tenth rib (body structure)']",['Tenth rib'],"['Right (qualifier value)', 'Right']","['Dextro', 'Right lateral', 'Rt - Right', 'Right side']"
70,rib_right_11,SCT,123037004,Anatomical Structure,SCT,58830002,Eleventh rib,SCT,24028007,Right,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Bone structure of eleventh rib', 'Bone structure of eleventh rib (body structure)']",['Eleventh rib'],"['Right (qualifier value)', 'Right']","['Dextro', 'Right lateral', 'Rt - Right', 'Right side']"
71,rib_right_12,SCT,123037004,Anatomical Structure,SCT,43993008,Twelfth rib,SCT,24028007,Right,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Bone structure of twelfth rib', 'Bone structure of twelfth rib (body structure)']",['Twelfth rib'],"['Right (qualifier value)', 'Right']","['Dextro', 'Right lateral', 'Rt - Right', 'Right side']"
72,sacrum,SCT,123037004,Anatomical Structure,SCT,54735007,Sacrum,,,,"['Body structure (body structure)', 'Body structure']",['Body structures'],"['Bone structure of sacrum (body structure)', 'Bone structure of sacrum']",['Sacral bone'],[],[]
