entity:twoVM_full_id	SeriesInstanceUIDs	idc-version	n_series	sum_voxels	sum_slices	sum_size_MB	max_slices
40	"{""SeriesInstanceUIDs"": [""1.3.6.1.4.1.14519.5.2.1.4801.5885.985997402224556423098599299358"", ""1.3.6.1.4.1.14519.5.2.1.4801.5885.427154622976849553012778113457""]}"	v24	2	223882672	464	449.3	233
41	"{""SeriesInstanceUIDs"": [""1.3.6.1.4.1.14519.5.2.1.2932.1975.174016338448086874719333238202"", ""1.3.6.1.4.1.14519.5.2.1.1078.3273.105137897300498965578123499293""]}"	v24	2	304873472	538	611.4	500
42	"{""SeriesInstanceUIDs"": [""1.3.6.1.4.1.14519.5.2.1.1078.3273.280161638563292207369550872092"", ""1.3.6.1.4.1.14519.5.2.1.1078.3273.188299402934654937957736326738"", ""1.3.6.1.4.1.14519.5.2.1.1078.3273.114687361666119786109153935110"", ""1.3.6.1.4.1.14519.5.2.1.1078.3273.199665919254862837819810722549"", ""1.3.6.1.4.1.14519.5.2.1.1078.3273.266637006359890695546741377528"", ""1.3.6.1.4.1.14519.5.2.1.1078.3273.208213179577740249754676607807""]}"	v24	6	238026752	908	480.5	346
43	"{""SeriesInstanceUIDs"": [""1.3.6.1.4.1.14519.5.2.1.1078.3273.295450725282585777200166644153"", ""1.3.6.1.4.1.14519.5.2.1.1078.3273.275303419033168948795184583244"", ""1.3.6.1.4.1.14519.5.2.1.1427.3273.524335719231376676691436250435"", ""1.3.6.1.4.1.14519.5.2.1.1078.3707.235061367767407402656922307695"", ""1.3.6.1.4.1.14519.5.2.1.1078.3707.544393520846059480974859888494""]}"	v24	5	310640640	1185	627.2	492
44	"{""SeriesInstanceUIDs"": [""1.3.6.1.4.1.14519.5.2.1.3320.3273.150078899812542799732858136931"", ""1.3.6.1.4.1.14519.5.2.1.3320.3273.190219441589173127283528963657""]}"	v24	2	287834112	1098	579.9	963
45	"{""SeriesInstanceUIDs"": [""1.3.6.1.4.1.14519.5.2.1.3320.3273.840742147390892579015461325222"", ""1.3.6.1.4.1.14519.5.2.1.3320.3273.288692434131184663531582225026"", ""1.3.6.1.4.1.14519.5.2.1.3320.3273.230723047620553328978170062982"", ""1.3.6.1.4.1.14519.5.2.1.3320.3273.194485831632775639144630354444"", ""1.3.6.1.4.1.14519.5.2.1.7085.3273.191930582471328173973178449409"", ""1.3.6.1.4.1.14519.5.2.1.7085.2626.248990602677758854618262117868"", ""1.3.6.1.4.1.14519.5.2.1.4801.5885.814309110491986086978755875100""]}"	v24	7	212074496	809	427.0	399
46	"{""SeriesInstanceUIDs"": [""1.3.6.1.4.1.14519.5.2.1.3320.3273.369815723860519630686719054019"", ""1.3.6.1.4.1.14519.5.2.1.3320.3273.497626715975535302636963626922"", ""1.3.6.1.4.1.14519.5.2.1.2932.1975.137197854902298966415773333445""]}"	v24	3	309027500	1140	621.4	631
47	"{""SeriesInstanceUIDs"": [""1.3.6.1.4.1.14519.5.2.1.3320.3273.178299816743119604143507382744""]}"	v24	1	70516736	269	142.0	269
48	"{""SeriesInstanceUIDs"": [""1.3.6.1.4.1.14519.5.2.1.2932.1975.294147328300990183271484548866""]}"	v24	1	286654464	486	574.7	486
49	"{""SeriesInstanceUIDs"": [""1.3.6.1.4.1.14519.5.2.1.2099.3754.239579870472727270802332548056""]}"	v24	1	203423744	776	409.1	776
50	"{""SeriesInstanceUIDs"": [""1.3.6.1.4.1.14519.5.2.1.2099.3754.995333505799141722771147298629"", ""1.3.6.1.4.1.14519.5.2.1.1078.3754.288003941317721604637400217748"", ""1.3.6.1.4.1.14519.5.2.1.4221.3754.300450458912349548321158983008"", ""1.3.6.1.4.1.14519.5.2.1.6450.2626.123007333939987991187520058776"", ""1.3.6.1.4.1.14519.5.2.1.6450.2626.137996022664530941095064206047"", ""1.3.6.1.4.1.14519.5.2.1.6450.2626.206626914317976412344638497210"", ""1.3.6.1.4.1.14519.5.2.1.1427.3273.112471757718047053580024344999""]}"	v24	7	300928512	1119	605.9	532
51	"{""SeriesInstanceUIDs"": [""1.3.6.1.4.1.14519.5.2.1.306438034061104828163299494729950182902"", ""1.3.6.1.4.1.14519.5.2.1.62142467323605237784770516904000895215"", ""1.3.6.1.4.1.14519.5.2.1.245704401549769576754476477927268798179"", ""1.3.6.1.4.1.14519.5.2.1.112948120307627841506048395084333796842"", ""1.3.6.1.4.1.14519.5.2.1.71723873150666650936131334110897642540""]}"	v24	5	239805952	809	483.0	314
52	"{""SeriesInstanceUIDs"": [""1.3.6.1.4.1.14519.5.2.1.166946264957098981808280900488558104848"", ""1.3.6.1.4.1.14519.5.2.1.163187964820539392935122708463310244598"", ""1.3.6.1.4.1.14519.5.2.1.1427.3273.496272568993026515858883923356"", ""1.3.6.1.4.1.14519.5.2.1.249747234475942834682299784244177066122"", ""1.3.6.1.4.1.14519.5.2.1.12363763578996894887225132720272732903"", ""1.3.6.1.4.1.14519.5.2.1.39259777678200137059835826187434558013"", ""1.3.6.1.4.1.14519.5.2.1.4801.2626.290028959625470204870593867916""]}"	v24	7	304316928	1116	613.3	309
53	"{""SeriesInstanceUIDs"": [""1.3.6.1.4.1.14519.5.2.1.4801.2626.174781379561670216387121433330"", ""1.3.6.1.4.1.14519.5.2.1.3320.3273.116420966559542364562864037285"", ""1.3.6.1.4.1.14519.5.2.1.3320.3273.261633193109177324242134988905"", ""1.3.6.1.4.1.14519.5.2.1.3320.3273.716888949184097095347965895655"", ""1.3.6.1.4.1.14519.5.2.1.2932.1975.300655352220655674038538538060"", ""1.3.6.1.4.1.14519.5.2.1.3320.3273.289485729673472822035141123349"", ""1.3.6.1.4.1.14519.5.2.1.3320.3273.148654260493210832272217573207""]}"	v24	7	303038464	1156	610.0	739
